
0.004,0.005,-0.003,0.000,0.000,0.000,Inf,1500.000
0.003,0.003,0.007,-0.000,0.000,-0.000,Inf,1500.000
0.004,0.002,-0.002,0.000,0.000,0.000,Inf,1500.000
0.004,0.007,-0.005,0.000,0.000,0.000,Inf,1500.000
0.003,0.006,0.010,0.000,0.000,-0.000,Inf,1500.000
0.001,0.003,-0.008,0.000,0.000,0.000,Inf,1500.000
0.003,0.003,-0.005,-0.000,0.000,0.000,Inf,1500.000
0.004,0.004,0.003,0.000,0.000,-0.000,Inf,1500.000
0.004,0.004,-0.005,-0.000,0.000,0.000,Inf,1500.000
0.002,0.005,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.002,0.004,0.000,-0.000,0.000,0.000,Inf,1500.000
0.004,0.005,0.005,-0.000,0.000,-0.000,Inf,1500.000
0.003,0.003,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.002,0.002,-0.005,0.000,0.000,0.000,Inf,1500.000
0.004,0.004,0.010,0.000,0.000,-0.000,Inf,1500.000
0.004,0.002,-0.007,0.000,0.000,0.000,Inf,1500.000
0.004,0.002,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.003,0.004,0.007,-0.000,0.000,-0.000,Inf,1500.000
0.004,0.005,0.002,-0.000,0.000,-0.000,Inf,1500.000
0.003,0.004,-0.005,0.000,0.000,0.000,Inf,1500.000
0.003,0.005,-0.000,-0.000,0.000,0.000,Inf,1500.000
0.003,0.003,0.003,0.000,0.000,-0.000,Inf,1500.000
0.003,0.004,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.003,0.005,-0.007,-0.000,0.000,0.000,Inf,1500.000
0.005,0.004,0.012,0.000,0.000,-0.000,Inf,1500.000
0.004,0.005,-0.002,0.000,0.000,0.000,Inf,1500.000
0.004,0.002,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.003,0.004,0.003,0.000,0.000,-0.000,Inf,1500.000
0.004,0.005,-0.007,-0.000,0.000,0.000,Inf,1500.000
0.003,0.007,-0.009,0.000,0.000,0.000,Inf,1500.000
0.004,0.004,-0.002,0.000,0.000,0.000,Inf,1500.000
0.004,0.007,0.005,-0.000,0.000,-0.000,Inf,1500.000
0.004,0.006,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.003,0.004,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.005,0.004,0.010,-0.000,0.000,-0.000,Inf,1500.000
0.005,0.004,-0.009,0.000,0.000,0.000,Inf,1500.000
0.005,0.004,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.006,0.005,0.002,-0.000,0.000,-0.000,Inf,1500.000
0.003,0.004,-0.005,0.000,0.000,-0.000,Inf,1500.000
0.005,0.004,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.006,0.005,-0.003,0.000,0.000,0.000,Inf,1500.000
0.004,0.005,0.007,0.000,0.000,-0.000,Inf,1500.000
0.005,0.004,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.004,0.002,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.005,0.005,0.009,0.000,0.000,-0.000,Inf,1500.000
0.003,0.006,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.004,0.004,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.005,0.006,0.002,0.000,0.000,-0.000,Inf,1500.000
0.003,0.004,0.000,-0.000,0.000,0.000,Inf,1500.000
0.003,0.004,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.003,0.004,-0.005,0.000,0.000,0.000,Inf,1500.000
0.004,0.006,0.007,0.000,0.000,-0.000,Inf,1500.000
0.005,0.004,-0.007,-0.000,0.000,0.000,Inf,1500.000
0.006,0.004,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.005,0.004,0.005,0.000,0.000,-0.000,Inf,1500.000
0.004,0.006,-0.014,0.000,0.000,0.000,Inf,1500.000
0.004,0.006,-0.015,0.000,0.000,0.000,Inf,1500.000
0.005,0.005,0.002,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.004,-0.000,0.000,0.000,Inf,1500.000
0.004,0.004,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.003,0.005,-0.003,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,0.002,0.000,0.000,-0.000,Inf,1500.000
0.005,0.006,-0.012,0.000,0.000,0.000,Inf,1500.000
0.006,0.006,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.005,0.004,0.004,-0.000,0.000,-0.000,Inf,1500.000
0.003,0.004,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.004,0.005,-0.015,0.000,0.000,0.000,Inf,1500.000
0.005,0.005,-0.003,0.000,0.000,0.000,Inf,1500.000
0.005,0.004,-0.005,-0.000,0.000,0.000,Inf,1500.000
0.003,0.006,-0.019,-0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.007,0.000,0.000,0.000,Inf,1500.000
0.006,0.006,0.003,0.000,0.000,-0.000,Inf,1500.000
0.005,0.006,-0.012,0.000,0.000,0.000,Inf,1500.000
0.004,0.005,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.005,0.007,0.007,0.000,0.000,-0.000,Inf,1500.000
0.004,0.005,-0.014,0.000,0.000,0.000,Inf,1500.000
0.004,0.005,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.006,0.006,-0.005,-0.000,0.000,-0.000,Inf,1500.000
0.006,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.006,0.005,-0.012,0.000,0.000,0.000,Inf,1500.000
0.004,0.006,-0.005,0.000,0.000,0.000,Inf,1500.000
0.004,0.005,-0.002,-0.000,0.000,-0.000,Inf,1500.000
0.003,0.007,-0.008,-0.000,0.000,0.000,Inf,1500.000
0.003,0.004,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.005,0.003,0.005,-0.000,0.000,-0.000,Inf,1500.000
0.005,0.004,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.004,0.006,-0.012,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.002,0.000,0.000,0.000,Inf,1500.000
0.007,0.008,-0.003,-0.000,0.000,0.000,Inf,1500.000
0.005,0.004,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.005,0.005,-0.005,-0.000,0.000,0.000,Inf,1500.000
0.005,0.005,0.003,0.000,0.000,-0.000,Inf,1500.000
0.004,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.006,0.007,0.003,0.000,0.000,-0.000,Inf,1500.000
0.003,0.007,-0.014,0.000,0.000,0.000,Inf,1500.000
0.004,0.007,-0.017,0.000,0.000,0.000,Inf,1500.000
0.005,0.008,-0.007,-0.000,0.000,-0.000,Inf,1500.000
0.005,0.007,-0.007,0.000,0.000,0.000,Inf,1500.000
0.003,0.004,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.003,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.004,0.005,0.000,-0.000,0.000,-0.000,Inf,1500.000
0.006,0.007,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.003,0.008,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.005,0.006,0.002,0.000,0.000,-0.000,Inf,1500.000
0.006,0.006,-0.012,0.000,0.000,0.000,Inf,1500.000
0.003,0.004,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.004,0.006,-0.005,0.000,0.000,-0.000,Inf,1500.000
0.006,0.004,-0.007,-0.000,0.000,0.000,Inf,1500.000
0.004,0.005,-0.015,0.000,0.000,0.000,Inf,1500.000
0.004,0.007,-0.005,-0.000,0.000,0.000,Inf,1500.000
0.008,0.007,0.002,0.000,0.000,-0.000,Inf,1500.000
0.005,0.007,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.005,0.006,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.008,0.005,0.003,-0.000,0.000,-0.000,Inf,1500.000
0.005,0.007,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.005,0.006,-0.002,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.008,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.005,0.008,-0.005,0.000,0.000,0.000,Inf,1500.000
0.006,0.007,0.003,0.000,0.000,-0.000,Inf,1500.000
0.006,0.007,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.008,0.007,0.005,0.000,0.000,-0.000,Inf,1500.000
0.006,0.007,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.006,0.007,-0.019,-0.000,0.000,0.000,Inf,1500.000
0.005,0.008,-0.002,-0.000,0.000,-0.000,Inf,1500.000
0.006,0.007,-0.005,0.000,0.000,0.000,Inf,1500.000
0.009,0.006,-0.014,0.000,0.000,0.000,Inf,1500.000
0.007,0.008,-0.010,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,0.003,0.000,0.000,-0.000,Inf,1500.000
0.006,0.007,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.012,0.000,0.000,0.000,Inf,1500.000
0.009,0.007,0.007,0.000,0.000,-0.000,Inf,1500.000
0.005,0.007,-0.012,0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.004,0.007,-0.002,-0.000,0.000,0.000,Inf,1500.000
0.007,0.007,-0.005,0.000,0.000,0.000,Inf,1500.000
0.006,0.007,-0.009,0.000,0.000,0.000,Inf,1500.000
0.007,0.010,-0.007,0.000,0.000,0.000,Inf,1500.000
0.007,0.007,-0.000,0.000,0.000,-0.000,Inf,1500.000
0.009,0.006,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.005,0.005,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.006,0.006,0.002,0.000,0.000,-0.000,Inf,1500.000
0.006,0.006,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.005,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.006,0.007,-0.002,0.000,0.000,0.000,Inf,1500.000
0.007,0.007,-0.003,0.000,0.000,0.000,Inf,1500.000
0.007,0.007,-0.014,0.000,0.000,0.000,Inf,1500.000
0.009,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,0.003,0.000,0.000,-0.000,Inf,1500.000
0.007,0.008,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.008,0.009,-0.015,0.000,0.000,0.000,Inf,1500.000
0.009,0.009,0.005,0.000,0.000,-0.000,Inf,1500.000
0.005,0.007,-0.007,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.009,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.000,-0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.005,-0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.010,0.000,0.000,0.000,Inf,1500.000
0.006,0.010,-0.007,0.000,0.000,0.000,Inf,1500.000
0.009,0.009,0.010,-0.000,0.000,-0.000,Inf,1500.000
0.007,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.004,0.007,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.007,0.007,0.003,0.000,0.000,-0.000,Inf,1500.000
0.006,0.010,-0.012,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.014,0.000,0.000,0.000,Inf,1500.000
0.006,0.007,-0.002,-0.000,0.000,-0.000,Inf,1500.000
0.006,0.007,-0.003,0.000,0.000,0.000,Inf,1500.000
0.007,0.008,-0.014,0.000,0.000,0.000,Inf,1500.000
0.007,0.008,-0.007,-0.000,0.000,0.000,Inf,1500.000
0.004,0.010,0.005,-0.000,0.000,-0.000,Inf,1500.000
0.007,0.007,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.014,0.000,0.000,0.000,Inf,1500.000
0.009,0.009,0.007,0.000,0.000,-0.000,Inf,1500.000
0.006,0.009,-0.010,0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.005,0.009,-0.002,-0.000,0.000,-0.000,Inf,1500.000
0.006,0.010,0.000,0.000,0.000,-0.000,Inf,1500.000
0.005,0.009,-0.012,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.005,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,0.003,0.000,0.000,-0.000,Inf,1500.000
0.007,0.008,-0.007,0.000,0.000,0.000,Inf,1500.000
0.008,0.006,-0.012,0.000,0.000,0.000,Inf,1500.000
0.009,0.011,0.007,0.000,0.000,-0.000,Inf,1500.000
0.008,0.007,-0.010,0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.012,0.000,0.000,0.000,Inf,1500.000
0.006,0.009,0.002,0.000,0.000,0.000,Inf,1500.000
0.009,0.010,-0.009,-0.000,0.000,-0.000,Inf,1500.000
0.007,0.008,-0.012,0.000,0.000,0.000,Inf,1500.000
0.006,0.007,-0.008,0.000,0.000,0.000,Inf,1500.000
0.009,0.009,0.005,0.000,0.000,-0.000,Inf,1500.000
0.006,0.009,-0.009,0.000,0.000,0.000,Inf,1500.000
0.007,0.010,-0.010,0.000,0.000,0.000,Inf,1500.000
0.009,0.009,0.007,0.000,0.000,-0.000,Inf,1500.000
0.008,0.010,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.006,0.006,-0.014,0.000,0.000,0.000,Inf,1500.000
0.007,0.012,-0.003,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.000,-0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.014,0.000,0.000,0.000,Inf,1500.000
0.009,0.010,-0.003,0.000,0.000,0.000,Inf,1500.000
0.007,0.008,0.007,0.000,0.000,-0.000,Inf,1500.000
0.006,0.010,-0.010,0.000,0.000,0.000,Inf,1500.000
0.010,0.009,-0.015,0.000,0.000,0.000,Inf,1500.000
0.009,0.007,0.007,0.000,0.000,-0.000,Inf,1500.000
0.005,0.010,-0.010,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.008,0.010,-0.003,0.000,0.000,-0.000,Inf,1500.000
0.007,0.008,-0.005,0.000,0.000,-0.000,Inf,1500.000
0.009,0.009,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.008,0.010,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.006,0.011,0.005,0.000,0.000,-0.000,Inf,1500.000
0.008,0.011,-0.010,0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.007,0.008,0.005,-0.000,0.000,-0.000,Inf,1500.000
0.010,0.010,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.019,0.000,0.000,0.000,Inf,1500.000
0.009,0.010,0.002,0.000,0.000,-0.000,Inf,1500.000
0.009,0.009,-0.003,-0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.008,0.010,0.010,0.000,0.000,-0.000,Inf,1500.000
0.007,0.010,-0.012,0.000,0.000,0.000,Inf,1500.000
0.007,0.010,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.007,0.010,0.002,0.000,0.000,-0.000,Inf,1500.000
0.007,0.009,-0.009,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.019,-0.000,0.000,0.000,Inf,1500.000
0.008,0.010,-0.005,0.000,0.000,-0.000,Inf,1500.000
0.007,0.010,-0.005,0.000,0.000,0.000,Inf,1500.000
0.006,0.009,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.006,0.010,-0.010,0.000,0.000,0.000,Inf,1500.000
0.005,0.008,0.009,-0.000,0.000,-0.000,Inf,1500.000
0.007,0.009,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.008,0.009,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.007,0.009,0.000,0.000,0.000,-0.000,Inf,1500.000
0.010,0.010,-0.005,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.005,0.000,0.000,0.000,Inf,1500.000
0.006,0.010,-0.003,-0.000,0.000,0.000,Inf,1500.000
0.010,0.014,-0.010,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.007,-0.000,0.000,0.000,Inf,1500.000
0.010,0.008,0.005,0.000,0.000,-0.000,Inf,1500.000
0.007,0.010,-0.012,0.000,0.000,0.000,Inf,1500.000
0.010,0.009,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.010,0.009,0.002,-0.000,0.000,-0.000,Inf,1500.000
0.008,0.011,-0.010,0.000,0.000,0.000,Inf,1500.000
0.007,0.008,-0.019,-0.000,0.000,0.000,Inf,1500.000
0.010,0.009,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.008,0.011,-0.005,0.000,0.000,0.000,Inf,1500.000
0.007,0.010,-0.015,0.000,0.000,0.000,Inf,1500.000
0.008,0.011,-0.012,0.000,0.000,0.000,Inf,1500.000
0.009,0.012,0.003,0.000,0.000,-0.000,Inf,1500.000
0.011,0.010,-0.012,0.000,0.000,0.000,Inf,1500.000
0.009,0.014,-0.019,0.000,0.000,0.000,Inf,1500.000
0.009,0.011,-0.000,0.000,0.000,0.000,Inf,1500.000
0.008,0.012,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.017,0.000,0.000,0.000,Inf,1500.000
0.009,0.011,-0.007,-0.000,0.000,0.000,Inf,1500.000
0.010,0.012,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.008,0.010,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.012,0.010,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.006,0.010,0.002,-0.000,0.000,0.000,Inf,1500.000
0.010,0.012,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.007,0.010,-0.021,0.000,0.000,0.000,Inf,1500.000
0.007,0.009,-0.003,0.000,0.000,0.000,Inf,1500.000
0.011,0.011,-0.017,0.000,0.000,0.000,Inf,1500.000
0.009,0.010,-0.026,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.010,0.000,0.000,0.000,Inf,1500.000
0.007,0.010,-0.009,-0.000,0.000,0.000,Inf,1500.000
0.006,0.011,-0.019,0.000,0.000,0.000,Inf,1500.000
0.007,0.012,-0.015,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.002,0.000,0.000,-0.000,Inf,1500.000
0.010,0.009,-0.015,0.000,0.000,0.000,Inf,1500.000
0.010,0.009,-0.021,-0.000,0.000,0.000,Inf,1500.000
0.008,0.012,-0.005,0.000,0.000,0.000,Inf,1500.000
0.011,0.010,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.012,0.010,-0.021,0.000,0.000,0.000,Inf,1500.000
0.008,0.012,-0.009,0.000,0.000,0.000,Inf,1500.000
0.010,0.012,-0.009,0.000,0.000,0.000,Inf,1500.000
0.011,0.011,-0.021,0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.010,0.012,0.003,0.000,0.000,-0.000,Inf,1500.000
0.006,0.012,-0.012,0.000,0.000,0.000,Inf,1500.000
0.010,0.012,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.008,0.011,0.000,0.000,0.000,-0.000,Inf,1500.000
0.010,0.013,-0.012,0.000,0.000,0.000,Inf,1500.000
0.012,0.014,-0.023,-0.000,0.000,0.000,Inf,1500.000
0.008,0.013,-0.007,0.000,0.000,0.000,Inf,1500.000
0.011,0.010,-0.009,0.000,0.000,0.000,Inf,1500.000
0.007,0.012,-0.017,0.000,0.000,0.000,Inf,1500.000
0.011,0.010,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.007,0.009,0.002,-0.000,0.000,-0.000,Inf,1500.000
0.010,0.012,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.015,0.000,0.000,0.000,Inf,1500.000
0.010,0.012,0.002,0.000,0.000,-0.000,Inf,1500.000
0.008,0.011,-0.012,0.000,0.000,0.000,Inf,1500.000
0.007,0.012,-0.022,-0.000,0.000,0.000,Inf,1500.000
0.011,0.011,-0.007,0.000,0.000,0.000,Inf,1500.000
0.010,0.012,-0.007,0.000,0.000,0.000,Inf,1500.000
0.011,0.011,-0.015,0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.014,0.000,0.000,0.000,Inf,1500.000
0.007,0.012,0.000,0.000,0.000,-0.000,Inf,1500.000
0.010,0.012,-0.014,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.019,0.000,0.000,0.000,Inf,1500.000
0.011,0.013,-0.002,0.000,0.000,-0.000,Inf,1500.000
0.009,0.012,-0.015,0.000,0.000,0.000,Inf,1500.000
0.007,0.013,-0.015,0.000,0.000,0.000,Inf,1500.000
0.010,0.013,-0.007,0.000,0.000,0.000,Inf,1500.000
0.008,0.012,-0.007,0.000,0.000,0.000,Inf,1500.000
0.011,0.011,-0.017,0.000,0.000,0.000,Inf,1500.000
0.011,0.011,-0.014,0.000,0.000,0.000,Inf,1500.000
0.011,0.013,0.002,-0.000,0.000,-0.000,Inf,1500.000
0.008,0.012,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.015,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,0.000,0.000,0.000,-0.000,Inf,1500.000
0.011,0.013,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.012,0.012,-0.017,-0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.002,0.000,0.000,0.000,Inf,1500.000
0.010,0.013,-0.003,-0.000,0.000,0.000,Inf,1500.000
0.009,0.014,-0.017,0.000,0.000,0.000,Inf,1500.000
0.008,0.013,-0.015,0.000,0.000,0.000,Inf,1500.000
0.011,0.011,0.003,-0.000,0.000,-0.000,Inf,1500.000
0.013,0.015,-0.014,0.000,0.000,0.000,Inf,1500.000
0.010,0.014,-0.015,0.000,0.000,0.000,Inf,1500.000
0.010,0.013,0.002,0.000,0.000,0.000,Inf,1500.000
0.010,0.012,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.011,0.013,-0.014,0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.003,0.000,0.000,0.000,Inf,1500.000
0.010,0.014,-0.003,-0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.014,0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.012,0.000,0.000,0.000,Inf,1500.000
0.010,0.014,0.005,-0.000,0.000,-0.000,Inf,1500.000
0.010,0.014,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.012,0.012,-0.017,0.000,0.000,0.000,Inf,1500.000
0.012,0.013,-0.000,0.000,0.000,-0.000,Inf,1500.000
0.010,0.014,-0.005,-0.000,0.000,0.000,Inf,1500.000
0.012,0.014,-0.017,0.000,0.000,0.000,Inf,1500.000
0.010,0.014,-0.002,-0.000,0.000,0.000,Inf,1500.000
0.008,0.013,0.000,0.000,0.000,-0.000,Inf,1500.000
0.012,0.014,-0.015,0.000,0.000,0.000,Inf,1500.000
0.011,0.013,-0.012,0.000,0.000,0.000,Inf,1500.000
0.012,0.014,0.010,0.000,0.000,-0.000,Inf,1500.000
0.012,0.013,-0.017,0.000,0.000,0.000,Inf,1500.000
0.011,0.013,-0.010,-0.000,0.000,0.000,Inf,1500.000
0.013,0.013,0.002,0.000,0.000,-0.000,Inf,1500.000
0.012,0.013,-0.014,0.000,0.000,0.000,Inf,1500.000
0.012,0.014,-0.014,-0.000,0.000,0.000,Inf,1500.000
0.012,0.012,-0.002,0.000,0.000,0.000,Inf,1500.000
0.011,0.013,-0.005,0.000,0.000,-0.000,Inf,1500.000
0.012,0.013,-0.012,-0.000,0.000,0.000,Inf,1500.000
0.012,0.013,-0.016,0.000,0.000,0.000,Inf,1500.000
0.011,0.012,0.003,0.000,0.000,-0.000,Inf,1500.000
0.013,0.013,-0.012,0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.019,-0.000,0.000,0.000,Inf,1500.000
0.012,0.014,-0.000,0.000,0.000,-0.000,Inf,1500.000
0.010,0.012,-0.005,0.000,0.000,0.000,Inf,1500.000
0.011,0.013,-0.019,0.000,0.000,0.000,Inf,1500.000
0.010,0.010,-0.003,0.000,0.000,0.000,Inf,1500.000
0.012,0.013,-0.003,0.000,0.000,-0.000,Inf,1500.000
0.011,0.015,-0.014,0.000,0.000,0.000,Inf,1500.000
0.011,0.012,-0.015,-0.000,0.000,0.000,Inf,1500.000
0.014,0.014,0.003,0.000,0.000,-0.000,Inf,1500.000
0.012,0.014,-0.012,0.000,0.000,0.000,Inf,1500.000
0.009,0.014,-0.017,0.000,0.000,0.000,Inf,1500.000
0.011,0.015,0.000,0.000,0.000,-0.000,Inf,1500.000
0.012,0.013,-0.010,0.000,0.000,0.000,Inf,1500.000
0.013,0.015,-0.019,0.000,0.000,0.000,Inf,1500.000
0.010,0.014,-0.007,0.000,0.000,0.000,Inf,1500.000
0.012,0.014,0.002,0.000,0.000,-0.000,Inf,1500.000
0.012,0.017,-0.016,0.000,0.000,0.000,Inf,1500.000
